name,municipality,iata_code,type
Ringi Cove Airport,Ringi Cove,RIN,small_airport
Ramata Airport,Ramata,RBV,small_airport
Tulaghi Heliport,Tulaghi Island,TLG,heliport
Argyle Downs Airport,Argyle Downs,AGY,small_airport
Hongyuan Airport,Ngawa (Hongyuan),AHJ,medium_airport
Ambatolhy Airport,Ambatolahy,AHY,small_airport
Aiome Airport,Aiome,AIE,small_airport
Aiambak Airport,Aiambak,AIH,small_airport
Ailinglaplap Airok Airport,Bigatyelang Island,AIC,small_airport
Chena Hot Springs Airport,Chena Hot Springs,CEX,small_airport
Solomon State Field,Solomon,SOL,small_airport
Herendeen Bay Airport,Herendeen Bay,HED,small_airport
Taylor Airport,Taylor,TWE,small_airport
Tikchik Lodge Seaplane Base,Tikchik,KTH,seaplane_base
Naukati Bay Seaplane Base,Tuxekan Island,NKI,seaplane_base
Point Lonely Short Range Radar Site Airfield,Point Lonely,LNI,small_airport
Candle 2 Airport,Candle,CDL,small_airport
Amook Bay Seaplane Base,Amook Bay,AOS,seaplane_base
Boswell Bay Airport,Boswell Bay,BSW,small_airport
Zakuoma Airport,ZaKouma,AKM,small_airport
Alitak Seaplane Base,Lazy Bay,ALZ,seaplane_base
Mar de Cortés International Airport,Puerto Peñasco,PPE,small_airport
Alto Molocue Airport,Alto Molocue,AME,small_airport
Ama Airport,,AMF,small_airport
Amanab Airport,Amanab,AMU,small_airport
Ambatomainty Airport,,AMY,small_airport
Nauru International Airport,Yaren District,INU,medium_airport
Angus Downs Airport,Angus Downs Station,ANZ,small_airport
Catoca Airport,Saurimo,CTV,small_airport
Andulo Airport,Andulo,ANL,small_airport
Cangamba Airport,Cangamba,CNZ,small_airport
Dirico Airport,Dirico,DRC,small_airport
Capanda Airport,Capanda,KNP,small_airport
N'dalatando Airport,N'dalatando,NDF,small_airport
Annanberg Airport,,AOB,small_airport
Abou-Deïa Airport,Abou-Deïa,AOD,small_airport
Asapa Airport,,APP,small_airport
April River Airport,April River,APR,small_airport
Girdwood-Alyeska Airport,Girdwood,AQY,small_airport
Bragado Airport,Bragado,QRF,small_airport
Caleta Olivia Airport,Caleta Olivia,CVI,small_airport
Charata Airport,Charata,CNT,small_airport
General Villegas Airport,General Villegas,VGS,small_airport
Los Menucos Airport,Los Menucos,LMD,small_airport
Valcheta Airport,Valcheta,VCF,small_airport
Sunchales Aeroclub Airport,Sunchales,NCJ,small_airport
Carmen de Patagones Airport,Carmen de Patagones,CPG,small_airport
Termal Airport,Presidencia Roque Sáenz Peña,PRQ,small_airport
Aragip Airport,,ARP,small_airport
Asirim Airport,,ASZ,small_airport
Namatanai Airport,Namatanai,ATN,small_airport
Aitape Airport,Aitape,ATP,small_airport
Lady Elliot Island Airstrip,Lady Elliot Island,LYT,small_airport
Gruyere Airport,Cosmo Newbery,GYZ,small_airport
Karara Airport,Karara,KQR,small_airport
Alpha Airport,Alpha,ABH,small_airport
Agnew Airport,Agnew,AGW,small_airport
Alroy Downs Airport,Alroy Downs,AYD,small_airport
Baniyala Airport,Baniyala,BYX,small_airport
Coolibah Airport,Coolibah,COB,small_airport
Coorabie Airport,Coorabie,CRJ,small_airport
Carlton Hill Airport,Carlton Hill,CRY,small_airport
Cresswell Downs Airport,Cresswell Downs,CSD,small_airport
Diamantina Lakes Airport,Diamantina Lakes,DYM,small_airport
Hayman Island Resort Seaplane Base,Hayman Island,HIS,seaplane_base
Helenvale Airport,Helenvale,HLV,small_airport
Kimberley Downs Airport,Kimberley Downs,KBD,small_airport
Kulgera Airport,Ghan,KGR,small_airport
Orchid Beach Airport,Orchid Beach,OKB,small_airport
Peppimenarti Airport,Peppimenarti,PEP,small_airport
Rockhampton Downs Airport,Rockhampton Downs,RDA,small_airport
Sturt Creek Airport,Sturt Creek,SSK,small_airport
Shaw River Airport,Shaw River,SWB,small_airport
Tom Price Airport,Tom Price,TPR,small_airport
Torwood Airport,Torwood,TWP,small_airport
Springvale Airport,Springvale,ZVG,small_airport
Aua Island Airport,Aua Island,AUI,small_airport
Ambunti Airport,Ambunti,AUJ,small_airport
Agaun Airport,,AUP,small_airport
Aumo Airport,Aumo,AUV,small_airport
Alowe Airport,Wonga Wongué Presidential Reserve,AWE,small_airport
Awar Airport (unusable),Awar,AWR,small_airport
Alxa Left Banner Bayanhot Airport,Bayanhot,AXF,medium_airport
Pantar Kabir Airport,Kabir,AXO,small_airport
Kompiam Airport,,KPM,small_airport
Buka Airport,Buka Island,BUA,medium_airport
Biaru Airport,Biaru,BRP,small_airport
Chimbu Airport,Kundiawa,CMU,medium_airport
Munduku Airport,Munduku,MDM,small_airport
Kondobol Airport,Kondobol,KPF,small_airport
Dinangat Airport,Dinangat,DNU,small_airport
Doini Airport,Castori Islets,DOI,small_airport
Daru Airport,Daru,DAU,medium_airport
Embessa Airport,Embessa,EMS,small_airport
Edwaki Airport,Yellow River Mission,XYR,small_airport
Eliptamin Airport,Eliptamin,EPT,small_airport
Engati Airstrip,Engati,EGA,small_airport
Emo River Airstrip,Emo Mission,EMO,small_airport
Erume Airport,Erume,ERU,small_airport
Meselia Airport,Demgulu,MFZ,small_airport
Feramin Airport,Feramin,FRQ,small_airport
Frieda River Airport,Frieda River,FAQ,small_airport
Fuma Airport,Fuma,FUM,small_airport
Goroka Airport,Goronka,GKA,medium_airport
Guari Airport,Guari,GUG,small_airport
Garasa Airport,Au,GRL,small_airport
Gurney Airport,Gurney,GUR,medium_airport
Gusap Airport,Gusap,GAP,small_airport
Girua Airport,Popondetta,PNP,medium_airport
Gasuke Airport,Gasuke,GBC,small_airport
Habi Airport,Habi,HBD,small_airport
Heiweni Airport,Heiweni,HNI,small_airport
Honinabi Airport,Honinabi,HNN,small_airport
Hoskins Airport,Kimbe,HKN,medium_airport
Haivaro Airport,Haivaro,HIT,small_airport
Imane Airport,Imane,IMN,small_airport
Kungim Airport,Kungim,KGM,small_airport
Imonda Airport,Imonda,IMD,small_airport
Aropa Airport,Kieta,KIE,small_airport
Ialibu Airport,Ialibu,IAL,small_airport
Witu Airport,Garove Island,WIU,small_airport
Yongai Airport,Yongai,KGH,small_airport
Losuia Airport,Losuia,LSA,small_airport
Kopiago Airport,Kopiago,KPA,small_airport
Kiunga Airport,Kiunga,UNG,small_airport
Kanainj Airport,Kanainj,KNE,small_airport
Kikori Airport,Kikori,KRI,small_airport
Kerema Airport,Kerema,KMA,medium_airport
Kar Kar Airport,Kar Kar Island,KRX,small_airport
Kuri Airport,Kuri,KUQ,small_airport
Kavieng Airport,Kavieng,KVG,medium_airport
Londolovit Airport,Londolovit,LNV,small_airport
Lab Lab Airport,Lab Lab Mission,LAB,small_airport
Lowai Airport,Lowai,LWI,small_airport
Leron Plains Airport,Leron Plains,LPN,small_airport
Lese Airport,Lese,LNG,small_airport
Long Island Airport,Long Island,LSJ,small_airport
Yas Island Seaplane Base,Abu Dhabi,AYM,seaplane_base
Manari Airport,Manari,MRM,small_airport
Morobe Airport,Morobe,OBM,small_airport
Madang Airport,Madang,MAG,medium_airport
Mount Hagen Kagamuga Airport,Mount Hagen,HGU,medium_airport
Mougulu Airport,Mougulu,GUV,small_airport
Mendi Airport,Mendi,MDU,medium_airport
Momote Airport,Manus Island,MAS,medium_airport
Moro Airport,Moro,MXH,small_airport
Misima Island Airport,Misima Island,MIS,small_airport
Marawaka Airport,Marawaka,MWG,small_airport
Nankina Airport,Gwarawon,NKN,small_airport
Negarbo(Negabo) Airport,Negarbo,GBF,small_airport
Manguna Airport,Manguna,MFO,small_airport
Kasonombe Airport,Kasonombe,KSB,small_airport
Nomane Airport,Namane,NMN,small_airport
Nambaiyufa Airport,Nambaiyufa,NBA,small_airport
Nadzab Airport,Lae,LAE,medium_airport
