name,municipality,iata_code,type
Ngot Nzoungou Airport,Dolisie,DIS,medium_airport
Antonio Agostinho-Neto International Airport,Pointe Noire,PNR,medium_airport
Matsapha Airport,Manzini,MTS,medium_airport
King Mswati III International Airport,Mpaka,SHO,large_airport
Fetlar Airstrip,Fetlar Island,FEA,small_airport
Carnot Airport,Carnot,CRF,small_airport
Bangui M'Poko International Airport,Bangui,BGF,medium_airport
Bangassou Airport,Bangassou,BGU,small_airport
Birao Airport,Birao,IRO,small_airport
Bambari Airport,Bambari,BBY,small_airport
N'Délé Airport,N'Délé,NDL,small_airport
Bouar Airport,Bouar,BOP,small_airport
Bria Airport,Bria,BIV,small_airport
Bossangoa Airport,Bossangoa,BSN,small_airport
Berbérati Airport,Berbérati,BBT,medium_airport
Ouadda Airport,Ouadda,ODA,small_airport
Yalinga Airport,Yalinga,AIG,small_airport
Zemio Airport,Zemio,IMO,small_airport
M'Boki Airport,Mboki,MKI,small_airport
Batangafo Airport,Batangafo,BTG,small_airport
Gordil Airport,Melle,GDI,small_airport
Bakouma Airport,Bakouma,BMF,small_airport
Ouanda Djallé Airport,Ouanda Djallé,ODJ,small_airport
Rafaï Airport,Rafaï,RFA,small_airport
Bouca Airport,Bouca,BCF,small_airport
Bozoum Airport,Bozoum,BOZ,small_airport
Annobón Airport,San Antonio de Palé,NBN,small_airport
Bata Airport,Bata,BSG,medium_airport
President Obiang Nguema International Airport,Mengomeyén,GEM,small_airport
Malabo Airport,Malabo,SSG,medium_airport
RAF Ascension Island,Cat Hill,ASI,medium_airport
Saint Helena Airport,Longwood,HLE,small_airport
Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,MRU,large_airport
Sir Charles Gaetan Duval Airport,Port Mathurin,RRG,medium_airport
Finschhafen Airport,Buki,FIN,small_airport
Nanuku Airport,Nanuku Auberge Resort,PHR,small_airport
Korolevu Seaplane Base,Korolevu,KVU,seaplane_base
Diego Garcia Naval Support Facility,Diego Garcia,NKW,medium_airport
Kribi Airport,Kribi,KBI,small_airport
Tiko Airport,Tiko,TKC,medium_airport
Douala International Airport,Douala,DLA,medium_airport
Mamfe Airport,Mamfe,MMF,small_airport
Bali Airport,Bali,BLC,small_airport
Kaélé Airport,Kaélé,KLE,small_airport
Batouri Airport,Batouri,OUR,small_airport
Yagoua Airport,Yagoua,GXX,small_airport
Salak Airport,Maroua,MVR,medium_airport
Foumban Nkounja Airport,Foumban,FOM,medium_airport
N'Gaoundéré Airport,N'Gaoundéré,NGE,medium_airport
Bertoua Airport,Bertoua,BTA,small_airport
Garoua International Airport,Garoua,GOU,medium_airport
Dschang Airport,Dschang,DSC,small_airport
Bafoussam Airport,Bafoussam,BFX,medium_airport
Bamenda Airport,Bamenda,BPC,medium_airport
Ebolowa Airport,Ebolowa,EBW,small_airport
Yaoundé Airport,Yaoundé,YAO,medium_airport
Yaoundé Nsimalen International Airport,Yaoundé,NSI,medium_airport
Mbala Airport,Mbala,MMQ,small_airport
Chipata Airport,Chipata,CIP,small_airport
Chunga Airstrip,Chunga,CGX,small_airport
Jeki Airport,Jeki,JEK,small_airport
Kasompe Airport,Chingola,CGJ,medium_airport
Kalabo Airport,Kalabo,KLB,small_airport
Kaoma Airport,Kaoma,KMZ,small_airport
Kasama Airport,Kasama,KAA,small_airport
Kasaba Bay Airport,Kasaba Bay,ZKB,small_airport
Harry Mwanga Nkumbula International Airport,Livingstone,LVI,medium_airport
Lukulu Airport,Lukulu,LXU,small_airport
Kenneth Kaunda International Airport,Lusaka,LUN,large_airport
Mansa Airport,Mansa,MNS,small_airport
Mfuwe Airport,Mfuwe,MFU,medium_airport
Mongu Airport,Mongu,MNR,medium_airport
Ngoma Airport,Ngoma,ZGM,small_airport
Royal Zambezi Lodge Airstrip,Lower Zambezi River,RYL,small_airport
Simon Mwansa Kapwepwe International Airport,Ndola,NLA,medium_airport
Senanga Airport,Senanga,SXG,small_airport
Southdowns Airport,Kitwe,KIW,medium_airport
Sesheke Airport,Sesheke,SJQ,small_airport
Solwesi Airport,Solwesi,SLI,small_airport
Flat Airport,Flat,FLT,small_airport
Zambezi Airport,Zambezi,BBZ,small_airport
Ulithi Airport,Falalop Island,ULI,small_airport
Prince Said Ibrahim International Airport,Moroni,HAH,medium_airport
Mohéli Bandar Es Eslam Airport,Fomboni,NWA,medium_airport
Ouani Airport,Ouani,AJN,medium_airport
Dzaoudzi Pamandzi International Airport,Dzaoudzi,DZA,medium_airport
Roland Garros Airport,Sainte-Marie,RUN,large_airport
Pierrefonds Airport,Saint-Pierre,ZSE,medium_airport
Malaimbandy Airport,Malaimbandy,WML,small_airport
Antsirabe Airport,Antsirabe,ATJ,small_airport
Antsalova Airport,Antsalova,WAQ,small_airport
Mahanoro Airport,Mahanoro,VVB,small_airport
Ivato Airport,Antananarivo,TNR,large_airport
Ankavandra Airport,Ankavandra,JVA,small_airport
Belo sur Tsiribihina Airport,Belo sur Tsiribihina,BMD,small_airport
Miandrivazo Airport,Miandrivazo,ZVA,medium_airport
Maintirano Airport,Maintirano,MXT,small_airport
Atsinanana Airport,Ilaka,ILK,small_airport
Morafenobe Airport,Morafenobe,TVA,small_airport
Sainte Marie Airport,Vohilava,SMS,medium_airport
Toamasina Ambalamanasy Airport,Toamasina,TMM,medium_airport
Tambohorano Airport,Tambohorano,WTA,small_airport
Morondava Airport,Morondava,MOQ,medium_airport
Tsiroanomandidy Airport,Tsiroanomandidy,WTS,small_airport
Vatomandry Airport,Vatomandry,VAT,small_airport
Ambatondrazaka Airport,Ambatondrazaka,WAM,small_airport
Arrachart Airport,Antisiranana,DIE,medium_airport
Ankaizina Airport,Bealanana,WBE,small_airport
Mananara Nord Airport,Mananara Nord,WMR,medium_airport
Andapa Airport,,ZWA,medium_airport
Ambilobe Airport,,AMB,small_airport
Avaratra Airport,Befandriana,WBD,small_airport
Port Bergé Airport,Port Bergé,WPB,small_airport
Antsirabe Airport,Antsirabe,ANM,medium_airport
Analalava Airport,Analalava,HVA,medium_airport
Amborovy Airport,Mahajanga,MJN,medium_airport
Fascene Airport,Nosy Be,NOS,medium_airport
Soalala Airport,Soalala,DWB,small_airport
Mampikony Airport,Mampikony,WMP,small_airport
Besalampy Airport,Besalampy,BPY,medium_airport
Maroantsetra Airport,Maroantsetra,WMN,medium_airport
Sambava Airport,Sambava,SVB,medium_airport
Tsaratanana Airport,Tsaratanana,TTS,small_airport
Vohemar Airport,Vohemar,VOH,medium_airport
Ambalabe Airport,Antsohihy,WAI,medium_airport
Mandritsara Airport,Mandritsara,WMA,small_airport
Ampampamena Airport,,IVA,small_airport
Antsoa Airport,Beroroha,WBO,small_airport
Mandabe Airport,Mandabe,WMD,small_airport
Tôlanaro Airport,Tôlanaro,FTU,medium_airport
Fianarantsoa Airport,Fianarantsoa,WFI,medium_airport
Farafangana Airport,Farafangana,RVA,small_airport
Ihosy Airport,Ihosy,IHO,small_airport
Manja Airport,Manja,MJA,small_airport
Manakara Airport,Manakara,WVK,medium_airport
Bekily Airport,Bekily,OVA,small_airport
Mananjary Airport,Mananjary,MNJ,medium_airport
Samangoky Airport,Tanandava,TDV,small_airport
Morombe Airport,Morombe,MXM,medium_airport
Toliara Airport,Toliara,TLE,medium_airport
Vangaindrano Airport,Vangaindrano,VND,small_airport
Betioky Airport,Betioky,BKU,small_airport
Ampanihy Airport,Ampanihy,AMP,small_airport
Ankazoabo Airport,Ankazoabo,WAK,small_airport
Ambriz Airport,Ambriz,AZZ,small_airport
Mbanza Congo Airport,Mbanza Congo,SSY,medium_airport
Benguela 17th of September Airport,Benguela,BUG,medium_airport
Lumbala Airport,Lumbala N'guimbo,GGC,small_airport
Cabinda Airport,Cabinda,CAB,medium_airport
Cafunfo Airport,Cafunfo,CFF,small_airport
Chitato Airport,Chitato,PGI,small_airport
Catumbela Airport,Catumbela,CBT,medium_airport
Cuito Cuanavale Airport,Cuito Cuanavale,CTI,small_airport
Camaxilo Airport,Camaxilo,CXM,small_airport
Cazombo Airport,Cazombo,CAV,small_airport
Funadhoo Airport,Funadhoo,FND,small_airport
Dundo Airport,Chitato,DUE,medium_airport
Fane Airport,Fane Mission,FNE,small_airport
Ngjiva Pereira Airport,Ngiva,VPE,medium_airport
Nova Lisboa Airport,Huambo,NOV,medium_airport
Kuito Airport,Kuito,SVP,medium_airport
Lobito Airport,Lobito,LLT,small_airport
Lucapa Airport,Lucapa,LBZ,small_airport
Quatro de Fevereiro International Airport,Luanda,LAD,large_airport
Luzamba Airport,Luzamba,LZM,small_airport
Malanje Airport,Malanje,MEG,medium_airport
Menongue Airport,Menongue,SPP,medium_airport
Welwitschia Mirabilis International Airport,Moçâmedes,MSZ,medium_airport
Negage Airport,Negage,GXG,medium_airport
Porto Amboim Airport,Port Amboim,PBN,medium_airport
Saurimo Airport,Saurimo,VHC,medium_airport
Soyo Airport,Soyo,SZA,medium_airport
Sumbe Airport,Sumbe,NDD,medium_airport
Luau Airport,Luau,UAL,small_airport
Lubango Airport,Lubango,SDD,medium_airport
Luena Airport,Luena,LUO,medium_airport
Uige Airport,Uige,UGO,medium_airport
Waco Kungo Airport,Waco Kungo,CEO,small_airport
Xangongo Airport,Xangongo,XGN,medium_airport
N'zeto Airport,N'zeto,ARZ,small_airport
Nzagi Airport,Nzagi,NZA,small_airport
Booue Airport,Booue,BGB,small_airport
Ndende Airport,Ndende,KDN,small_airport
Fougamou Airport,Fougamou,FOU,small_airport
M'Bigou Airport,M'Bigou,MBC,small_airport
Moabi Airport,Moabi,MGX,small_airport
Ville Airport,N'Djolé,KDJ,small_airport
Koulamoutou Mabimbi Airport,Koulamoutou,KOU,medium_airport
Mouilla Ville Airport,Mouila,MJL,medium_airport
Oyem Airport,Oyem,OYE,medium_airport
Okondja Airport,Okondja,OKN,medium_airport
Lambarene Airport,Lambarene,LBQ,medium_airport
Minvoul Airport,Minvoul,MVX,small_airport
Bitam Airport,Bitam,BMM,medium_airport
Moanda Airport,Moanda,MFF,small_airport
Mekambo Airport,Mekambo,MKB,small_airport
Port Gentil Airport,Port Gentil,POG,medium_airport
Omboue Hospital Airport,Omboue,OMB,medium_airport
Tchongorove Airport,Iguela,IGE,small_airport
Makokou Airport,Makokou,MKU,medium_airport
Libreville Leon M'ba International Airport,Libreville,LBV,medium_airport
Mitzic Airport,Mitzic,MZC,small_airport
M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,MVB,medium_airport
Lastourville Airport,Lastourville,LTL,small_airport
Tchibanga Airport,Tchibanga,TCH,small_airport
Mayumba Airport,Mayumba,MYB,small_airport
Foya Airport,Foya,FOY,small_airport
Principe Airport,São Tomé & Príncipe,PCP,medium_airport
São Tomé International Airport,São Tomé,TMS,large_airport
Angoche Airport,Angoche,ANO,small_airport
Beira Airport,Beira,BEW,medium_airport
Cuamba Airport,Cuamba,FXO,small_airport
Chimoio Airport,Chimoio,VPY,medium_airport
Inhaca Airport,Inhaca,IHC,small_airport
Inhambane Airport,Inhambane,INH,medium_airport
Lichinga Airport,Lichinga,VXC,medium_airport
Lumbo Airport,Lumbo,LFB,small_airport
Maputo Airport,Maputo,MPM,large_airport
Mueda Airport,Mueda,MUD,medium_airport
Mocímboa da Praia Airport,Mocímboa da Praia,MZB,medium_airport
Nacala Airport,Nacala,MNC,small_airport
Nampula Airport,Nampula,APL,medium_airport
Pemba Airport,Pemba / Porto Amelia,POL,medium_airport
Ponta do Ouro Airport,Ponta do Ouro,PDD,small_airport
Quelimane Airport,Quelimane,UEL,medium_airport
Chingozi Airport,Tete,TET,medium_airport
Vilankulo Airport,Vilanculo,VNX,medium_airport
Xai-Xai Chongoene Airport,Xai-Xai,VJB,small_airport
Desroches Airport,Desroches Island,DES,small_airport
Seychelles International Airport,Mahe Island,SEZ,large_airport
Fossil Downs Airport,Fossil Downs Station,FSL,small_airport
Praslin Island Airport,Praslin Island,PRI,medium_airport
Bird Island Airport,Bird Island,BDI,small_airport
Denis Island Airport,Denis Island,DEI,small_airport
Frégate Island Airport (UNUSABLE),Frégate Island,FRK,small_airport
Sarh Airport,Sarh,SRH,small_airport
Bongor Airport,Bongor,OGR,small_airport
Abeche Airport,Abeche,AEH,medium_airport
Moundou Airport,Moundou,MQQ,medium_airport
Lai Airport,Lai,LTC,small_airport
Ati Airport,Ati,ATV,small_airport
N'Djamena International Airport,N'Djamena,NDJ,large_airport
Bokoro Airport,Bokoro,BKR,small_airport
Bol-Berim Airport,Bol,OTC,small_airport
Mongo Airport,Mongo,MVO,small_airport
Am Timan Airport,Am Timan,AMC,small_airport
Pala Airport,Pala,PLF,small_airport
Bousso Airport,Bousso,OUT,small_airport
Mao Airport,Mao,AMO,small_airport
Faya-Largeau Airport,Faya-Largeau,FYT,medium_airport
Fulleborn Airport,Fulleborn,FUB,small_airport
Bumi Hills Airport,Bumi,BZH,small_airport
Joshua Mqabuko Nkomo International Airport,Bulawayo,BUQ,medium_airport
Chipinge Airport,Chipinge,CHJ,small_airport
Buffalo Range Airport,Chiredzi,BFO,medium_airport
Victoria Falls International Airport,Victoria Falls,VFA,medium_airport
Robert Gabriel Mugabe International Airport,Harare,HRE,large_airport
Kariba International Airport,Kariba,KAB,medium_airport
Mahenye Airport,Gonarezhou National Park,MJW,small_airport
Mutare Airport,Mutare,UTA,small_airport
Masvingo International Airport,Masvingo,MVZ,medium_airport
Gweru - Thornhill Air Base,Gweru,GWE,medium_airport
Hwange National Park Airport,Hwange,HWN,medium_airport
Hwange (Town) Airport,Hwange,WKI,small_airport
Chelinda Malawi Airport,,CEH,small_airport
Chileka International Airport,Blantyre,BLZ,medium_airport
Club Makokola Airport,Club Makokola,CMK,small_airport
Dwangwa Airport,Dwangwa,DWA,medium_airport
Karonga Airport,Karonga,KGJ,medium_airport
Kasungu Airport,Kasungu,KBQ,small_airport
Lilongwe International Airport,Lilongwe,LLW,medium_airport
Likoma Island Airport,Likoma Island,LIX,small_airport
Mangochi Airport,Mangochi,MAI,medium_airport
Monkey Bay Airport,Monkey Bay,MYZ,small_airport
Salima Airport,Salima,LMB,small_airport
Mzuzu Airport,Mzuzu,ZZU,medium_airport
Lebakeng Airport,Lebakeng,LEF,small_airport
Leribe Airport,Leribe,LRB,small_airport
Lesobeng Airport,Lesobeng,LES,small_airport
Matsaile Airport,Matsaile,MSG,small_airport
Mafeteng Airport,Mafeteng,MFC,small_airport
Mokhotlong Airport,Mokhotlong,MKH,small_airport
Moshoeshoe I International Airport,Maseru,MSU,medium_airport
Nkaus Airport,Nkaus,NKU,small_airport
Pelaneng Airport,Pelaneng,PEL,small_airport
Quthing Airport,Quthing,UTG,small_airport
Qacha's Nek Airport,Qacha's Nek,UNE,small_airport
Sehonghong Airport,Sehonghong,SHK,small_airport
Sekakes Airport,Sekakes,SKQ,small_airport
Semonkong Airport,Semonkong,SOK,small_airport
Seshutes Airport,Seshutes,SHZ,small_airport
Thaba-Tseka Airport,Thaba-Tseka,THB,small_airport
Tlokoeng Airport,Tlokoeng,TKO,small_airport
Ai-Ais Airport,Ai-Ais,AIW,small_airport
Arandis Airport,Arandis,ADI,medium_airport
Gobabis Airport,Gobabis,GOG,small_airport
Grootfontein Airport,Grootfontein,GFY,medium_airport
Halali Airport,Halali,HAL,small_airport
Karasburg Airport,Karasburg,KAS,small_airport
Katima Mulilo Airport,Mpacha,MPA,medium_airport
Keetmanshoop Airport,Keetmanshoop,KMP,medium_airport
Lianshulu Airport,Lianshulu Lodge,LHU,small_airport
Luderitz Airport,Luderitz,LUD,medium_airport
Mount Etjo Airport,Mount Etjo Safari Lodge,MJO,small_airport
Midgard Airport,Midgard,MQG,small_airport
Mokuti Lodge Airport,Mokuti Lodge,OKU,small_airport
Namutoni Airport,Namutoni,NNI,small_airport
Ondangwa Airport,Ondangwa,OND,medium_airport
Omega Airport,Omega,OMG,small_airport
Oranjemund Airport,Oranjemund,OMD,medium_airport
Okaukuejo Airport,Okaukuejo,OKF,small_airport
Opuwa Airport,Opuwa,OPW,small_airport
Oshakati Airport,Oshakati,OHI,small_airport
Otjiwarongo Airport,Otjiwarongo,OTJ,small_airport
Rundu Airport,Rundu,NDU,medium_airport
Skorpion Mine Airport,Rosh Pinah,RHN,small_airport
Swakopmund Municipal Aerodrome,Swakopmund,SWP,small_airport
Sesriem Airstrip,,SZM,small_airport
Terrace Bay Airport,Terrace Bay,TCY,small_airport
Tsumeb Airport,Tsumeb,TSB,medium_airport
Walvis Bay Airport,Walvis Bay,WVB,medium_airport
Eros Airport,Windhoek,ERS,medium_airport
Hosea Kutako International Airport,Windhoek,WDH,large_airport
Ndjili International Airport,Kinshasa,FIH,large_airport
Ndolo Airport,N'dolo,NLO,medium_airport
Muanda Airport,Muanda,MNB,small_airport
Boma Airport,Boma,BOA,small_airport
Luozi Airport,Luozi,LZI,small_airport
Tshimpi Airport,Matadi,MAT,small_airport
N'Kolo-Fuma Airport,N'Kolo-Fuma,NKL,small_airport
Inongo Airport,Inongo,INO,small_airport
Nioki Airport,Nioki,NIO,small_airport
Bandundu Airport,Bandundu,FDU,medium_airport
Kiri Airport,Kiri,KRZ,small_airport
Kikwit Airport,Kikwit,KKW,medium_airport
Idiofa Airport,Idiofa,IDF,small_airport
Lusanga Airport,Lusanga,LUS,small_airport
Masi Manimba Airport,Masi Manimba,MSM,small_airport
Mbandaka Airport,Mbandaka,MDK,medium_airport
Basankusu Airport,Basankusu,BSU,small_airport
Libenge Airport,Libenge,LIE,small_airport
Gbadolite Airport,Gbadolite,BDT,medium_airport
Gemena Airport,Gemena,GMA,medium_airport
Kotakoli Airbase,Kotakoli,KLI,small_airport
Bumba Airport,Bumba,BMB,small_airport
Lisala Airport,Lisala,LIQ,medium_airport
Boende Airport,Boende,BNB,small_airport
Ikela Airport,Ikela,IKL,small_airport
Bangoka International Airport,Kisangani,FKI,medium_airport
Yangambi Airport,Yangambi,YAN,small_airport
Matari Airport,Isiro,IRP,medium_airport
Bunia Airport,Bunia,BUX,medium_airport
Buta Zega Airport,Buta,BZU,medium_airport
Bukavu Kavumu Airport,Kamakombe,BKY,medium_airport
Rughenda Airfield,Butembo,RUE,small_airport
Goma International Airport,Goma,GOM,medium_airport
Beni Airport,Beni,BNC,small_airport
Kindu Airport,Kindu,KND,medium_airport
Kinkungwa Airport,Kalima,KLY,small_airport
Punia Airport,Punia,PUN,small_airport
Lubumbashi International Airport,Lubumbashi,FBM,medium_airport
Kasenga Airport,Kasenga,KEC,small_airport
Kolwezi Airport,Kolwezi,KWZ,medium_airport
Manono Airport,Manono,MNO,small_airport
Moba Airport,Moba,BDV,small_airport
Kalemie Airport,Kalemie,FMI,medium_airport
Kabalo Airport,Kabalo,KBO,small_airport
Kongolo Airport,Kongolo,KOO,small_airport
Kamina City Airport,Kamina,KMN,small_airport
Kapanga Airport,Kapanga,KAP,small_airport
Kaniama Airport,Kaniama,KNM,small_airport
Kananga Airport,Kananga,KGA,medium_airport
Luiza Airport,Luiza,LZA,small_airport
Tshikapa Airport,Tshikapa,TSH,small_airport
Lodja Airport,Lodja,LJA,small_airport
Lusambo Airport,Lusambo,LBO,small_airport
Mweka Airport,Mweka,MEW,small_airport
Basongo Airport,Basongo,BAN,small_airport
Ilebo Airport,Ilebo,PFR,small_airport
Mbuji Mayi Airport,Mbuji Mayi,MJM,medium_airport
Tunta Airport,Kabinda,KBN,small_airport
Nkan Airstrip,Ntoum,NKA,small_airport
Miele Mimbale Airport,Miele Mimbale,GIM,small_airport
Akieni Airport,Akieni,AKE,small_airport
Gamba Airport,Gamba,GAX,small_airport
Gabbs Airport,Gabbs,GAB,small_airport
Modibo Keita International Airport,Bamako,BKO,large_airport
Goundam Airport,Goundam,GUD,small_airport
Gao Airport,,GAQ,medium_airport
Kenieba Airport,Kenieba,KNZ,small_airport
Koutiala Airport,Koutiala,KTX,small_airport
Kayes Dag Dag Airport,,KYS,medium_airport
Mopti Ambodédjo International Airport,Sévaré,MZI,medium_airport
Nara Airport,Nara,NRM,small_airport
Nioro du Sahel Airport,Nioro du Sahel,NIX,small_airport
Sikasso Airport,Sikasso,KSS,small_airport
Timbuktu Airport,Timbuktu,TOM,medium_airport
Yélimané Airport,Yélimané,EYL,small_airport
Guasopa Airport,Woodlark (Muyua) Island,GAZ,small_airport
Dornoch Airfield,"Dornoch, Sunderland",DOC,small_airport
Flotta Isle Airstrip,Flotta Isle,FLH,small_airport
Foula Airfield,Foula,FOA,small_airport
Out Skerries Airfield,Grunay Island,OUK,small_airport
Papa Stour Airport,Papa Stour Island,PSV,small_airport
Glenforsa Airfield,Glenforsa,ULL,small_airport
Garbaharey Airport,Garbaharey,GBM,small_airport
Banjul International Airport,Banjul,BJL,large_airport
Fuerteventura Airport,El Matorral,FUE,large_airport
La Gomera Airport,"Alajero, La Gomera Island",GMZ,small_airport
El Hierro Airport,El Hierro Island,VDE,medium_airport
La Palma Airport,"Sta Cruz de la Palma, La Palma Island",SPC,medium_airport
Gran Canaria Airport,Gran Canaria Island,LPA,large_airport
César Manrique-Lanzarote Airport,San Bartolomé,ACE,large_airport
Tenerife Sur Airport,Tenerife,TFS,large_airport
Gravatai Airport,Gravatai,GCV,small_airport
Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,TFN,medium_airport
Ceuta Heliport,Ceuta,JCU,heliport
Melilla Airport,Melilla,MLN,medium_airport
Gewoia Airport,Gewoia,GEW,small_airport
Camopi Airport,Camopi,OYC,small_airport
Bo Airport,Bo,KBS,medium_airport
Pope Field,Greenfield,GFD,small_airport
Gbangbatok Airport,Gbangbatok,GBK,small_airport
Hastings Airport,Freetown,HGS,small_airport
Kabala Airport,Kabala,KBA,small_airport
Kenema Airport,Kenema,KEN,medium_airport
Lungi International Airport,Freetown (Lungi-Town),FNA,large_airport
Yengema Airport,Yengema,WYE,medium_airport
Bubaque Airport,Bubaque,BQE,small_airport
Osvaldo Vieira International Airport,Bissau,OXB,medium_airport
Garachiné Airport,Garachiné,GHE,small_airport
Akunnaaq Heliport,Akunnaaq,QCU,heliport
Buchanan Airport,Buchanan,UCN,small_airport
Cape Palmas Airport,Harper,CPA,small_airport
Greenville/Sinoe Airport,Greenville,SNI,small_airport
Spriggs Payne Airport,Monrovia,MLW,medium_airport
Nimba Airport,Nimba,NIA,small_airport
Gulgubip Airport,Gulgubip,GLP,small_airport
Roberts International Airport,Monrovia,ROB,large_airport
Sasstown Airport,Sasstown,SAZ,small_airport
Tchien Airport,Zwedru,THC,small_airport
Voinjama Airport,Voinjama,VOI,small_airport
Al Massira Airport,Agadir (Temsia),AGA,medium_airport
Tan Tan Airport,Tan Tan,TTA,medium_airport
Bouarfa Airport,Bouarfa,UAR,medium_airport
Fes Saïss International Airport,Saïss,FEZ,medium_airport
Moulay Ali Cherif Airport,Errachidia,ERH,medium_airport
Bassatine Airport,Meknes,MEK,medium_airport
Oujda Angads Airport,Ahl Angad,OUD,medium_airport
Smara Airport,Smara,SMW,medium_airport
Ben Slimane Airport,Ben Slimane,GMD,small_airport
Beni Mellal Airport,Oulad Yaich,BEM,small_airport
Rabat-Salé Airport,Rabat,RBA,medium_airport
Dakhla Airport,Dakhla,VIL,medium_airport
Essaouira-Mogador Airport,Essaouira,ESU,medium_airport
Hassan I Airport,El Aaiún,EUN,medium_airport
Mohammed V International Airport,Casablanca,CMN,large_airport
Nador Al Aaroui International Airport,Al Aaroui,NDR,medium_airport
Menara Airport,Marrakech,RAK,medium_airport
Kenitra Air Base,Kenitra,NNA,medium_airport
Ouarzazate Airport,Ouarzazate,OZZ,medium_airport
Golog Maqên Airport,Golog (Maqên),GMQ,medium_airport
Cherif Al Idrissi Airport,Al Hoceima,AHU,medium_airport
Sania Ramel Airport,Tétouan,TTU,medium_airport
Tangier Ibn Battuta Airport,Tangier,TNG,medium_airport
Goodnews Airport,Goodnews,GNU,small_airport
Blaise Diagne International Airport,Dakar,DSS,large_airport
Gora Airstrip,Gora,GOC,small_airport
Kolda/Sare Bidji Airport,Kolda,KDA,small_airport
Ziguinchor Airport,Ziguinchor,ZIG,medium_airport
Cap Skirring Airport,Cap Skirring,CSK,medium_airport
Kaolack Airport,Kaolack,KLC,medium_airport
Léopold Sédar Senghor International Airport,Dakar,DKR,medium_airport
Ouro Sogui Airport,Ouro Sogui,MAX,medium_airport
Podor Airport,Podor,POD,small_airport
Richard Toll Airport,Richard Toll,RDT,small_airport
Saint Louis Airport,Saint Louis,XLS,medium_airport
Bakel Airport,Bakel,BXE,medium_airport
Kédougou Airport,Kédougou,KGG,medium_airport
Simenti Airport,Simenti,SMY,small_airport
Tambacounda Airport,Tambacounda,TUD,medium_airport
Aioun el Atrouss Airport,Aioun El Atrouss,AEO,small_airport
Boutilimit Airport,Boutilimit,OTL,small_airport
Tichitt Airport,Tichitt,THI,small_airport
Tidjikja Airport,Tidjikja,TIY,small_airport
Abbaye Airport,Boghe,BGH,small_airport
Kiffa Airport,Kiffa,KFA,small_airport
Timbedra Airport,Timbedra,TMD,small_airport
Néma Airport,Néma,EMN,small_airport
Akjoujt Airport,Akjoujt,AJJ,small_airport
Kaédi Airport,Kaédi,KED,small_airport
Letfotar Airport,Moudjeria,MOM,small_airport
Nouakchott–Oumtounsy International Airport,Nouakchott,NKC,large_airport
Sélibaby Airport,Sélibaby,SEY,small_airport
Tamchakett Airport,Tamchakett,THT,small_airport
Atar International Airport,Atar,ATR,medium_airport
Fderik Airport,Fderik,FGD,small_airport
Nouadhibou International Airport,Nouadhibou,NDB,medium_airport
Tazadit Airport,Zouérate,OUZ,small_airport
Grand Cess Airport,Grand Cess,GRC,small_airport
Granite Mountain Air Station,Granite Mountain,GMT,small_airport
Chiquimula Airport,Chiquimula,CIQ,small_airport
Dos Lagunas Airport,Dos Lagunas,DON,small_airport
El Naranjo Airport,El Naranjo,ENJ,small_airport
Paso Caballos Airport,Paso Caballos,PCG,small_airport
Uaxactun Airport,Uaxactun,UAX,small_airport
Playa Grande Airport,Playa Grande,PKJ,small_airport
Kirawira B Aerodrome,Grumeti Game Reserve,GTZ,small_airport
Conakry International Airport,Conakry,CKY,medium_airport
Guriaso (Keraso) Airport,Guriaso,GUE,small_airport
Fria Airport,Fria,FIG,small_airport
Faranah Airport,Faranah,FAA,small_airport
Kissidougou Airport,Kissidougou,KSI,small_airport
Tata Airport,Labé,LEK,small_airport
Macenta Airport,Macenta,MCA,small_airport
Nzérékoré Airport,Nzérékoré,NZE,small_airport
Boké Baralande Airport,Boké,BKJ,small_airport
Sambailo Airport,Koundara,SBI,small_airport
Siguiri Airport,Siguiri,GII,small_airport
Kankan Airport,Kankan,KNN,small_airport
Amílcar Cabral International Airport,Espargos,SID,large_airport
Agostinho Neto Airport,Ponta do Sol,NTO,small_airport
Rabil Airport,Rabil,BVC,medium_airport
Gordonsville Municipal Airport,Gordonsville,GVE,small_airport
Maio Airport,Vila do Maio,MMO,medium_airport
Mosteiros Airport,Vila do Mosteiros,MTI,small_airport
Nelson Mandela International Airport,Praia,RAI,large_airport
São Filipe Airport,São Filipe,SFL,small_airport
Preguiça Airport,Preguiça,SNE,medium_airport
São Pedro Airport,São Pedro,VXE,medium_airport
Bemichi Airport,Kumaka,BCG,small_airport
Botopasi Airport,Botopasi,BTO,small_airport
Djumu-Djomoe Airport,Djumu-Djomoe,DOE,small_airport
Ladouanie Airport,Aurora,LDO,small_airport
Washabo Airport,Washabo,WSO,small_airport
Ghazni Airport,Ghazni,GZI,small_airport
Addis Ababa Bole International Airport,Addis Ababa,ADD,large_airport
Arba Minch Airport,Arba Minch,AMH,medium_airport
Axum Airport,Axum,AXU,medium_airport
Baco Airport,Baco,BCO,small_airport
Bahir Dar Airport,Bahir Dar,BJR,medium_airport
Beica Airport,Beica,BEI,small_airport
Dembidollo Airport,Dembidollo,DEM,small_airport
Debre Markos Airport,Debre Markos,DBM,small_airport
